start_time,from,to,duration,region,position
2018-01-05 23:37:03,5983055532362,4064696403182,379,VA,-141.779651|30.1175635
2018-01-08 04:24:33,2237752268426,4177379225306,458,KY,-132.072249|16.0712245
2018-01-08 12:25:53,9107321997426,7200399756940,103,VA,153.756191|59.318001
2018-01-03 01:10:01,6084931105392,9597755510729,164,AL,-9.831315|-34.8188395
2018-01-03 22:33:05,7586353263332,3343018715764,182,OK,170.240965|77.367032
2018-01-02 20:06:56,4589609451236,7719811852272,524,TN,-150.479627|-71.8128285
2018-01-11 04:54:18,1597808434250,7600848574614,579,MA,21.081994|26.792042
2018-01-11 01:35:50,4509786456409,1837732671849,28,SD,36.130208|-82.3509165
2018-01-04 11:47:12,8251519638049,1543114864566,84,WI,-168.590692|60.112971
2018-01-02 23:25:16,8464718696722,3082681843696,142,VA,111.179481|0.2077075
2018-01-05 18:29:39,4505182366758,7383962987815,524,IL,-148.219531|7.445410
2018-01-02 05:08:47,7916867107105,6144368947243,533,NC,-103.546402|0.5613475
2018-01-06 04:47:26,9841920947555,8118495518006,534,NJ,152.730689|-17.7979195
2018-01-09 23:08:01,8169155560830,8169941497946,282,OR,-142.835005|-12.1310555
2018-01-05 09:43:03,5307560385558,6778283953343,75,TN,78.652708|-37.6221825
2018-01-03 23:36:38,8511624594298,0197104744463,450,CO,27.964952|64.723094
2018-01-05 22:18:47,5002701240329,6730160947703,407,IA,86.813051|-20.2857325
2018-01-06 01:24:46,9509104134470,3315751131250,249,PW,88.191385|78.470780
2018-01-01 16:56:53,4340646631839,2000182804088,474,NM,5.583766|76.187703
2018-01-04 17:03:27,8257177017659,2376760996758,487,FM,-85.827424|-29.4777645
2018-01-05 22:15:32,7986522666205,8187973088949,444,GA,-86.349677|-46.8843685
2018-01-07 06:08:21,9676736911797,0461698427060,278,VT,-27.009476|80.861198
2018-01-07 17:14:29,5043344392034,0266133062893,525,AL,7.922437|-8.813657
2018-01-10 03:10:10,6633340616250,2359884853810,118,WI,22.574261|43.4059285
2018-01-06 17:39:13,1731017539566,8102392065764,142,MS,58.045396|-74.654785
2018-01-09 06:15:35,5002171196000,2058559647604,222,MD,-23.288433|-81.650342
2018-01-05 04:43:26,5847628139830,1316795505888,24,NJ,-94.000335|-10.623967
2018-01-09 18:17:17,6332200727674,8635508663623,481,DC,168.481059|-14.414933
2018-01-01 04:43:52,6765350775989,0503618623454,464,OH,19.578178|84.7151165
2018-01-09 12:14:32,4115250641085,7486673590915,396,GU,-121.421349|-36.8616455
2018-01-04 21:56:28,0840077612252,2480806785725,548,AL,-147.404975|79.642320
2018-01-04 18:37:35,5924252987961,8116664303120,545,DE,122.278862|-50.1340485
2018-01-09 04:44:16,8712072230575,1527722421448,405,NJ,-97.849487|-45.2833525
2018-01-08 06:23:59,9730222083638,7710815056130,232,MT,136.087690|-25.280995
2018-01-02 12:52:26,0570228632446,3076103495700,334,CA,-0.342413|72.6056945
2018-01-01 01:20:34,5549134388537,8471511103565,15,AR,-23.012678|-24.4009555
2018-01-07 20:25:27,7799755189274,2994112297070,368,KS,-77.586342|89.4695055
2018-01-04 10:13:46,4036140837466,5966580462802,329,MH,-134.596043|15.6207975
2018-01-05 10:19:29,5469267248643,7096601046717,107,NE,-119.750593|3.529729
2018-01-02 11:52:48,2597514045392,6520773770162,99,MP,120.562192|-55.5206985
2018-01-03 22:33:32,7382268317041,3116087165289,475,SC,134.221451|-84.8158705
2018-01-04 02:23:18,3168477032057,9338809618253,197,KS,-127.431614|58.724593
2018-01-08 01:43:47,7354241103875,1673025815065,236,GU,59.705856|84.4832495
2018-01-06 04:19:23,4594663231972,5878855359087,24,WY,151.164051|61.590460
2018-01-02 17:05:08,0130788986652,0778914293993,454,CA,-134.425288|-17.9704225
2018-01-05 19:28:26,4405256977967,0406799066810,505,MT,-5.264714|-55.556085
2018-01-11 03:32:29,1228087493443,9768121201977,86,ID,92.141108|2.762137
2018-01-07 00:42:42,2836844959611,4856634369003,53,FM,-98.697198|-6.218880
2018-01-05 05:34:36,1442258894172,1313221053143,377,OK,-169.902558|71.814855
2018-01-02 18:24:50,7496551960451,6202591711154,45,WY,-6.359322|52.654830
2018-01-07 16:03:27,5736388561816,9332233189775,142,TN,-17.912726|-22.775461
2018-01-09 18:51:30,0830349344816,6291038782053,350,FL,-31.138234|-75.1510615
2018-01-07 00:02:48,0253968923588,0104961021550,395,TN,-117.990229|-81.0277635
2018-01-03 12:33:44,7375392028117,1499343459218,6,NH,-173.257838|12.7342285
2018-01-02 04:54:34,3753103315884,7667730569477,556,NJ,-99.306605|64.4938425
2018-01-06 07:11:47,6609425360332,5093389841925,254,SD,102.010696|80.003092
2018-01-08 21:36:09,2073802881557,9604319525244,122,NM,19.243685|83.196180
2018-01-10 21:07:09,0161805942230,2446407917677,554,CO,5.942960|-80.656696
2018-01-08 09:55:09,5060545217146,6851812851084,344,SD,166.165354|71.586446
2018-01-08 08:47:44,1763578123469,1204413664409,277,VA,-65.738111|20.8741875
2018-01-05 03:44:36,1023208486207,3377043500824,356,MO,-78.856204|-53.208621
2018-01-08 21:59:30,3128162738333,6443675870745,111,PA,-162.388347|-43.9805315
2018-01-11 03:22:16,4835178732688,4944433517065,211,NE,179.855417|-83.8145915
2018-01-11 04:08:18,3105681605746,3577906700184,184,KY,-88.591202|-36.765826
2018-01-01 19:34:12,2306970908594,0634194015188,301,DE,167.643173|8.1182245
2018-01-03 10:23:29,7031166963467,6664107043865,150,CA,-167.412786|-13.087649
2018-01-08 22:21:50,6080461401467,9283284958851,36,NV,29.955635|43.853702
2018-01-04 23:18:00,1903556492538,8341838218910,62,SD,62.884021|-59.4759585
2018-01-06 01:12:34,9887006475582,5058358075819,140,SD,-90.875804|-7.7972075
2018-01-07 05:20:43,6937675012107,8920605029369,438,GA,144.357316|-42.7950545
2018-01-01 03:10:22,4869707586443,3403908477071,241,WI,87.851107|-77.827901
2018-01-05 06:46:55,7888366919588,4532534501530,132,WV,69.213767|-53.387721
2018-01-10 11:53:00,6019687792683,1507177095842,435,RI,19.387178|83.224226
2018-01-04 04:50:44,3838921795033,6002169592495,3,SC,178.514258|43.0356225
2018-01-04 16:43:12,9590880272631,2352480002850,494,WI,-102.181635|4.253751
2018-01-05 17:56:00,3481450027968,8132569401814,232,IA,98.016844|-24.233466
2018-01-06 03:16:01,9502297291064,5058722418397,83,WA,123.830608|16.8665715
2018-01-10 21:50:24,7693062780555,4541456602117,192,MT,-91.822716|43.550362
2018-01-01 04:52:20,3439496886337,7836481457846,260,OR,44.783905|26.8107705
2018-01-06 11:53:41,6858671600005,5509007801069,349,TN,-7.211120|-18.576812
2018-01-08 10:51:43,3702595446645,3615107663245,138,LA,-14.883346|34.7844685
2018-01-10 08:04:11,5696965808395,2333744159908,296,PR,-176.828604|-74.948919
2018-01-02 04:32:30,9187855872138,6112489254384,145,MD,-13.378624|37.322448
2018-01-02 15:16:42,2703142221207,7952097193043,81,AL,110.340577|39.448493
2018-01-09 23:10:02,6436613750305,2199529907047,490,WA,13.320688|-58.799565
2018-01-04 07:35:48,1094619712700,6626908547864,395,WA,-123.666382|4.804858
2018-01-05 15:35:35,8455675714107,2482879307867,579,MH,-126.378042|79.839938
2018-01-07 00:33:06,8946360859764,5690915282362,231,MD,110.091870|46.175351
2018-01-02 12:38:53,1623907202835,1208238943403,67,NJ,157.953973|70.806990
2018-01-08 23:49:43,7720835666630,5532908972289,418,NE,172.474761|75.7006215
2018-01-05 11:08:45,1641803746818,8975600379161,493,OR,-116.249106|26.0713195
2018-01-04 13:49:28,4044442339225,4810342694453,429,MN,-53.833955|38.6344045
2018-01-05 02:19:59,9728441520469,3819595276465,118,ME,81.014874|-20.3498155
2018-01-01 10:43:35,8119365825639,4770992639764,185,ND,54.704505|-83.286489
2018-01-08 08:04:07,3211694994500,5207805988643,515,NV,14.492607|-73.063942
2018-01-09 00:57:14,6186053973277,2400612011377,17,WA,-48.095733|-44.508811
2018-01-10 02:44:53,0655465201181,9936680711174,523,MS,159.711034|18.912798
2018-01-07 23:55:29,5948515139960,6686436267780,452,DE,-46.284904|10.187899
2018-01-01 21:26:52,2961737430852,2869450291027,140,HI,2.662569|-18.4732595
2018-01-08 02:39:46,4014431993393,4632989155099,302,NM,14.827299|-49.224712
2018-01-08 23:20:41,5442912502315,3297047337042,261,TX,162.427047|-62.039159
2018-01-11 08:08:07,8522308220676,9768045661468,260,TX,-91.351281|-21.472622
2018-01-02 00:47:30,0517967521267,5457822176772,138,VA,-107.588857|30.582479
2018-01-08 13:46:43,1933969635353,6883073838707,588,WV,177.408884|-56.2188365
2018-01-05 16:34:26,1366168435238,9713564695207,477,NM,133.448391|-34.9150915
2018-01-11 03:54:43,2179217106669,7674759721365,318,ID,101.178374|9.900808
2018-01-05 18:44:49,6775548120020,8409656036055,192,CA,-143.591325|30.038459
2018-01-11 04:02:53,1839451126002,2244045250723,55,PR,-32.943245|88.6161635
2018-01-10 22:27:53,7791443857294,8750272369657,319,WV,156.462135|35.593781
2018-01-08 14:44:10,0220602930125,6504874691861,396,AK,-49.600052|4.2265645
2018-01-10 10:53:05,5925040909474,5426370090958,315,AL,61.271017|20.959424
2018-01-03 14:24:35,3138904749799,4514038632151,170,WV,-145.488265|49.589285
2018-01-02 22:17:12,7886245748876,2300351534417,243,ME,-169.963630|-69.0453005
2018-01-03 10:44:40,4022234953394,4105402524338,586,KY,22.004110|64.359682
2018-01-04 16:11:22,6197004423601,8927259720599,272,ND,77.118396|0.300152
2018-01-10 07:17:07,0330040140327,2853083990278,17,MI,36.155586|64.1276295
2018-01-03 22:06:33,1806362925209,7034600342226,537,MN,27.357903|24.1442375
2018-01-01 05:33:17,8009566270957,7369070836105,213,ME,-56.001979|-38.413281
2018-01-03 00:54:18,7767125376226,5129598132514,453,KY,-91.582473|10.8558505
2018-01-05 18:58:07,4559303019385,9629181806821,371,NJ,157.958956|65.0599245
2018-01-06 19:21:53,7296079970632,7781542826590,133,VI,-50.761791|26.688231
2018-01-11 06:28:29,8397752817914,7886803063165,175,MO,-64.605000|-88.059649
2018-01-07 20:23:49,0281438048110,5243077220311,113,ID,119.007443|-71.6578645
2018-01-03 17:03:22,8173201164773,9346116559764,20,IA,-47.527953|79.854574
2018-01-04 18:10:43,1771370329766,8705926259191,448,NM,113.219417|67.787266
2018-01-08 19:31:34,7989033897826,6780422998560,522,MI,98.554738|18.410527
2018-01-03 23:25:46,2695891764357,1530197909023,366,UT,-167.282297|-36.6122865
2018-01-10 12:19:23,5826754036165,7378267675622,443,AK,-179.996601|22.388580
2018-01-03 02:25:49,2770548432773,4827627758964,268,WY,-87.156835|47.7241985
2018-01-02 17:55:34,3591166109742,8018030408894,40,DE,123.857206|-46.379231
2018-01-04 06:01:23,9499715566054,1663886679894,536,IL,130.771511|34.321917
2018-01-03 11:28:55,1203985978696,2155301703734,229,IN,30.178479|41.4536655
2018-01-02 03:11:20,0149570346521,9244857828972,149,NM,-12.351187|85.644410
2018-01-10 14:23:34,6528170069692,1844902859467,268,PR,-42.355508|72.580236
2018-01-02 05:53:53,2689693350474,9758891442840,260,PW,5.515841|32.7846785
2018-01-03 20:40:02,2662953991987,5132032335049,472,MN,116.147239|39.6817425
2018-01-04 08:38:02,9904932189311,5158928032161,571,NE,12.734088|-75.099153
2018-01-07 20:53:30,5606462278693,4984043488388,582,IA,117.670713|-28.6110275
2018-01-06 14:03:33,2698762770490,5902625013437,9,AZ,-51.280097|-60.251503
2018-01-05 16:09:51,1158030628465,6191883723020,450,CO,115.928006|-9.4548845
2018-01-05 15:10:46,1794261758451,6103679480682,368,TX,-72.948008|-36.9899985
2018-01-05 08:07:47,1488939597039,8779713835946,177,PW,-129.060804|4.327806
2018-01-03 15:32:51,2832568332120,1674837722573,585,TN,-20.997219|-72.678528
2018-01-05 09:55:53,0955686788113,8912762447050,124,SC,66.253710|-21.862464
2018-01-03 11:38:47,0034163965219,9083982904075,40,MS,161.622894|66.241396
2018-01-07 16:14:33,1903135989599,1505881653497,354,DE,-159.327452|17.2654425
2018-01-06 04:13:40,6015860150603,4136498161931,578,KY,-165.447424|50.8933025
2018-01-01 11:06:42,7676816148876,9807878417083,522,OK,-31.091672|-73.1698765
2018-01-04 13:23:37,4842485396096,2246833245973,165,NH,148.870295|51.898387
2018-01-02 10:41:15,7356378541943,0561931803261,154,SC,-155.231693|75.664892
2018-01-09 04:48:45,9175718716698,5725184115903,256,WA,149.477554|37.9268465
2018-01-04 08:25:06,7282455845936,2630628118589,508,AK,2.363133|61.306863
2018-01-08 20:45:29,8299685456965,9724380240659,88,MO,-107.455275|39.9085015
2018-01-05 20:24:45,8288142051914,0114197337384,23,MO,-82.335508|-37.1872185
2018-01-10 15:07:42,1967811431651,5533201283193,531,SC,124.681030|-27.201866
2018-01-07 06:50:38,4127277720082,2751161147019,268,DE,-159.831713|37.4618645
2018-01-08 22:04:10,7394680586754,2649411819513,126,SC,37.314928|41.0175475
2018-01-07 18:34:24,3489901887434,7436308978076,127,WI,44.484425|-80.6460595
2018-01-09 08:05:00,2933436865057,4705400507102,315,AR,-1.079327|42.5612895
2018-01-06 18:14:13,3344926082567,1167851782274,110,MA,-62.095705|41.671238
2018-01-04 08:45:17,6132021220247,2902135997104,16,GA,-23.145299|-54.807461
2018-01-10 17:49:36,3406495054887,6630977889445,415,GA,-46.051111|54.093693
2018-01-04 03:36:53,1046329793001,5162503065317,383,SC,168.470545|19.272658
2018-01-02 21:20:10,1254656918538,4246288720495,340,AR,137.024699|16.5229505
2018-01-03 20:05:22,9328272348622,6433451235445,256,MP,57.126463|-43.8542555
2018-01-10 15:27:07,3248533965700,3895759678443,283,MS,-113.755788|-86.086642
2018-01-07 17:18:43,8152470685845,1844069313343,4,ND,-64.545605|-25.937131
2018-01-08 02:10:19,3453417577539,9324164895239,360,PR,21.572169|-86.845548
2018-01-04 00:33:12,7485960798399,6166028443520,409,MA,-16.478034|32.654817
2018-01-11 00:19:54,8246325414590,5108751425625,261,MP,-31.145588|57.740099
2018-01-01 02:57:59,9914947133705,5475116249177,466,WA,-54.623950|11.403003
2018-01-03 16:11:21,2433851844566,7225119875014,570,LA,-173.861741|26.3517065
2018-01-07 03:09:00,3554339489914,3886219479642,380,OR,42.073020|-54.5752545
2018-01-10 09:55:27,3238283800478,7458257013645,491,WY,-94.117772|13.125426
2018-01-09 11:36:14,7170708807702,9278752300970,295,OH,136.961674|29.962199
2018-01-08 13:17:43,7553218531737,7012762013154,55,ID,-97.456022|14.4063085
2018-01-04 16:37:52,6576889307825,6874601417407,98,MP,43.240238|4.6187085
2018-01-01 11:12:13,2763595963877,1958045819546,134,NM,176.073124|-20.771400
2018-01-04 04:56:27,1174704896261,4855893365459,112,MT,38.562062|67.186679
2018-01-11 02:29:11,3876677079143,5252016819637,274,MI,-170.039168|7.848735
2018-01-07 00:53:56,2957157282423,7982172140779,322,UT,79.357021|-34.0207955
2018-01-08 09:52:23,5701870113090,1366256460734,476,WV,-124.738597|-49.1412575
2018-01-08 15:03:23,4500596170649,3541489479287,293,PA,-17.303420|16.3543915
2018-01-09 12:02:19,2441396997087,5384596822978,42,PR,-88.148634|-84.5561955
2018-01-07 08:47:31,8405391201157,7077345526109,306,MI,-129.386267|43.170435
2018-01-06 06:56:05,9563241452480,6442141974410,196,AK,63.037459|79.8538645
2018-01-01 08:28:28,8251593708719,7455665912777,242,MN,-103.001192|-58.724074
2018-01-01 23:31:44,6556604142047,7179130105519,589,MS,51.510119|14.1723005
2018-01-11 06:42:48,5430833581311,0914426181780,202,DC,162.347005|33.8318835
2018-01-04 02:45:22,2081200798770,0042934845284,569,CT,113.836631|1.640639
2018-01-04 22:42:47,7156405129608,2952177697788,476,VT,-126.965408|-63.2697125
2018-01-03 17:34:27,1531017332326,4964440072152,258,MA,25.671838|51.920584
2018-01-08 03:00:53,1868909623270,6537739794500,477,CT,105.952205|33.803438
2018-01-11 04:55:48,8603672180002,5058714718222,161,CT,46.273055|9.9470195
2018-01-08 02:58:20,1700194590718,3470748142059,208,AS,12.590889|17.171171
2018-01-03 00:40:38,1330982902862,3622079378901,71,HI,-76.726119|3.5310465
2018-01-09 12:03:01,3182113627609,7162919080454,211,TN,134.184520|55.2977905
2018-01-09 16:44:21,7165335161586,1695838873426,441,DE,164.424722|-16.742022
2018-01-08 09:45:19,7586871972888,1126213521204,393,MO,-37.401314|22.5568165
2018-01-05 01:26:53,9116345135790,3948622118432,454,FM,-0.674961|-72.600973
2018-01-02 17:24:44,3040881104601,0467169848415,432,AL,-126.492033|68.037808
2018-01-01 05:17:13,5137286941910,1533176450295,499,MD,-179.055836|-86.9711425
2018-01-11 03:48:57,3788592134563,4332642975124,52,CA,-44.551427|-68.178085
2018-01-06 15:04:25,3268929933820,8930089362622,107,GA,43.020632|-53.1116105
2018-01-09 12:32:38,4383488229311,0277556966135,385,VI,128.184252|11.7483195
2018-01-11 05:00:10,1685974420020,2404838826195,134,WV,-116.030729|-25.947996
2018-01-11 05:30:49,5597087922704,3965289478437,185,FL,-25.262834|58.627176
2018-01-05 05:07:48,6613024318049,0482884337730,402,MO,-69.379086|-59.7915405
2018-01-09 02:10:29,5060317710244,0743797238074,57,NH,133.632997|43.268871
2018-01-02 15:38:25,3248881836293,9803353476387,312,MN,13.700801|-88.0505085
2018-01-06 06:30:38,7567214149538,2390265925120,397,WV,39.913655|-84.9009285
2018-01-01 22:32:44,0027435795379,9853434931607,96,OR,-169.522579|-86.7954065
2018-01-04 11:00:19,1771001398849,3065212376829,310,MN,-55.883185|-55.0214535
2018-01-07 08:35:12,0251528500185,4204673078920,223,OH,-63.307230|-69.1854195
2018-01-02 04:25:51,6518087458301,2607891298294,297,GA,77.059879|75.9178765
2018-01-05 17:59:17,1166893484894,2637266882178,554,AK,-114.663213|39.798074
2018-01-01 06:51:43,6373092633426,6028474100516,172,MT,97.977831|68.473866
2018-01-06 10:10:23,8749548784965,2941231449047,187,CT,55.133858|34.832583
2018-01-01 07:03:10,4311458614549,1445494438216,344,NC,-102.681274|-76.5318135
2018-01-11 05:15:07,1113067718104,4632161913131,61,DE,133.933855|-59.723233
2018-01-02 22:24:20,8766215336900,0629140000269,425,CO,-78.345907|72.859259
2018-01-04 04:33:43,0479699711424,3367416079053,322,NY,115.303436|-6.1002805
2018-01-08 06:11:11,8743911642253,4860533669510,2,PA,-74.294574|-83.4416425
2018-01-04 15:48:24,7750424675071,9331594731405,385,WA,29.882469|-31.1283715
2018-01-06 08:36:11,7484869205421,9413837923166,243,IA,-170.957234|-83.7591615
2018-01-02 20:25:43,8258374270510,9275048272877,309,UT,-21.999902|-14.1793585
2018-01-10 02:50:13,6152272662601,4167111134194,581,NV,-80.272910|-46.108780
2018-01-03 09:59:44,4891800098424,8167421581515,18,AZ,-11.662849|-26.177777
2018-01-06 08:13:51,7660432911423,8467981288433,304,CA,-170.284504|23.4060475
2018-01-03 21:39:47,4049897016008,9896416614240,176,UT,5.920169|4.969359
2018-01-03 13:25:10,3543326483384,4978227904527,402,MA,68.685843|26.962886
2018-01-07 01:10:24,0032222166947,7147252500006,291,CT,-36.564954|6.736116
2018-01-10 01:45:53,4286597271756,5281447058931,145,NY,-52.376259|84.7175585
2018-01-01 22:22:50,4365023705334,4910758999533,337,MI,-46.936786|-49.2108715
2018-01-05 06:06:48,2539332030088,5300537768785,7,MD,-165.663060|-36.652301
2018-01-07 01:06:19,9222736669302,8970233164357,539,NY,3.322611|-70.922210
2018-01-05 16:38:25,0183370892470,2253323519819,283,RI,175.800951|38.6273335
2018-01-03 17:40:56,4358401756028,9384098233240,432,CO,-86.008657|60.4350605
2018-01-05 00:15:21,7031568607207,4550282199067,217,FL,150.457679|20.706210
2018-01-06 19:27:26,0545235811323,8614705437572,466,PA,48.972513|-61.2971415
2018-01-03 04:05:03,5758086092145,9473886470024,155,PW,-147.243591|-67.7743475
2018-01-08 03:59:16,2247481322950,6155977843470,524,KS,95.432102|73.309633
2018-01-04 23:43:32,8370642551002,8060298020847,146,WV,-17.692978|-78.2808025
2018-01-08 02:34:21,9349416567660,7076973418718,460,MA,112.348894|66.0428015
2018-01-03 03:03:58,9819695959769,0074614852214,356,OH,-105.922266|60.297681
2018-01-03 12:34:50,7943194320865,5831656177540,595,OR,-49.365311|4.060154
2018-01-04 05:25:07,3746981773099,7918581550748,264,ME,-89.801693|54.9298245
2018-01-10 12:29:31,8826607763579,2589192874155,317,MP,94.579091|75.5795115
2018-01-01 05:51:08,0237767870664,2153621802863,286,UT,-87.089037|22.841748
2018-01-07 17:08:01,7463137151290,1236109070448,3,NV,123.544461|25.4303965
2018-01-05 09:12:36,0100747322751,9169338914438,577,CO,150.346990|39.7922425
2018-01-07 20:20:54,8942506718785,0309220654373,53,NV,132.921553|31.643418
2018-01-07 01:48:07,3444991626604,8515341207755,68,MI,88.273969|62.1580405
2018-01-02 00:18:51,9088451843824,4678051063025,294,HI,-16.899527|0.890573
2018-01-10 13:08:52,4979558854391,0592653998670,300,MP,117.150832|14.4937455
2018-01-09 04:57:53,5560326970626,1314411383438,599,TN,96.669016|-23.465735
2018-01-05 21:36:39,3138696137465,9995185190967,571,SD,-4.267195|67.070327
2018-01-03 09:59:29,3805925441541,5196657937487,327,ND,-49.363053|24.3160055
2018-01-09 21:34:58,8562911240222,1842766560387,286,MD,-157.252767|14.580599
2018-01-10 16:12:37,4004243574893,4926936798729,138,MA,-97.503321|85.8381675
2018-01-08 00:02:17,9278382674208,7848370476913,187,OR,86.975901|-37.729848
2018-01-05 10:00:29,9127424649367,7785089857419,189,GU,164.552435|89.053728
2018-01-02 07:49:56,1578127660622,2995860864562,447,IL,-127.069217|8.3855445
2018-01-06 03:27:46,4056680179983,3828973148835,510,IL,-45.681451|-74.7875185
2018-01-03 04:05:15,1227092436789,6993265699894,147,WA,-156.330427|4.450133
2018-01-06 19:46:47,0552194889287,9159630881043,427,TN,-18.350672|82.5886985
2018-01-08 20:06:05,8175065174672,7512631120645,506,FM,29.191698|58.030812
2018-01-01 03:22:45,8511285940711,9717590448241,254,KY,-25.264127|66.8487525
2018-01-06 04:49:53,2122059794097,0666680590574,584,MP,178.397248|10.231131
2018-01-01 13:26:57,6672842193683,8388837033277,364,MN,46.046684|49.9950155
2018-01-08 11:03:49,2810521177435,2480769781762,527,NV,76.515160|57.667251
2018-01-04 21:27:34,4832418485494,9699754040513,121,ME,-62.800973|-15.474820
2018-01-07 02:19:02,3970320942939,3544668041648,399,UT,121.871895|-32.0593845
2018-01-08 03:52:36,4485298719744,8731400360855,54,NM,65.128059|85.364082
2018-01-05 16:40:46,1844768075035,9628324066043,560,PW,-169.645364|73.525925
2018-01-07 06:55:07,7065286795119,8221336501479,270,WA,-175.648723|70.495678
2018-01-04 18:56:01,2103402684159,9233559020682,205,MH,154.412674|2.699658
2018-01-02 19:38:28,2145971589803,1375858374568,317,AR,-1.875738|86.674862
2018-01-09 01:15:06,8435789056609,0182685146714,561,NY,9.369349|52.5627535
2018-01-01 19:14:10,6652163534650,8725348239075,165,HI,-66.008441|-22.683528
2018-01-09 03:50:03,2955466509950,6499452297576,155,TN,-133.369742|27.070020
2018-01-08 19:44:56,2028027972348,3022341509861,277,IN,91.748611|32.853442
2018-01-11 03:33:19,8841421437644,1940441636040,554,AK,-168.849870|-72.5417125
2018-01-04 01:59:55,6838654665633,0385960312650,359,NY,56.814064|-63.911715
2018-01-09 02:50:45,5202352715677,3953319847066,217,IA,-68.150013|84.237239
2018-01-05 14:56:53,3365783092534,2477799799249,444,GA,-80.721579|61.4988005
2018-01-09 00:21:13,1990367254399,5089392778910,247,MS,-40.796605|12.727374
2018-01-10 02:32:49,0034983350493,7406534492092,531,WA,-37.681365|63.054720
2018-01-04 01:25:17,5962330381653,6687629861827,506,KS,164.033235|-48.092877
2018-01-02 10:56:57,4049069565100,7047813811082,140,MN,-47.601379|68.642951
2018-01-10 07:01:12,1386958118200,2848610279394,529,GU,85.740161|8.790013
2018-01-01 10:33:41,2429225112823,8815335733090,11,NJ,-80.170165|52.0163995
2018-01-09 06:09:05,9941190566938,8409482169777,562,IN,-161.867825|-11.2741835
2018-01-10 03:03:47,3582294538353,9136405141190,118,AL,8.326657|-77.784677
2018-01-03 07:07:53,1863043469579,8517710792603,121,FM,-163.959452|58.6902265
2018-01-07 08:16:13,2303362748522,6754071816799,336,OH,2.533078|-56.955481
2018-01-08 03:59:49,8705818995615,9077167782409,53,NJ,-47.558762|22.395508
2018-01-02 03:08:26,4298138032267,3780799237705,548,OK,-7.430506|2.770412
2018-01-01 10:48:28,3435721480671,3197692622432,404,CA,-172.963682|65.590397
2018-01-01 00:42:35,4182656381972,0683235913717,244,MT,-155.491275|37.6154145
2018-01-09 14:32:55,5489553002807,6174315953841,381,WI,133.788895|47.131725
2018-01-04 04:21:20,8553680174865,7404554331181,78,NY,-67.636100|-8.7133445
2018-01-03 08:26:13,9420418174638,2071691631236,353,MI,91.551142|-65.161354
2018-01-05 06:01:13,4566015245637,9968034443870,83,NY,-68.069208|-2.6190735
2018-01-10 02:12:14,8044134340981,7019455026312,222,KY,-171.087114|-66.6850235
2018-01-05 04:42:22,5868147799190,7293407930410,129,CO,136.764347|-61.889694
2018-01-04 12:57:27,2256647752196,4089112469188,119,KY,-41.638715|15.635973
2018-01-03 15:35:33,1912059038405,8712152307330,179,NC,65.359551|30.830104
2018-01-09 10:30:44,7880840632706,1811076927493,446,RI,-107.194963|-48.9357465
2018-01-04 10:27:51,1628216347728,8608870146571,227,VI,-17.067878|26.2857355
2018-01-03 18:47:20,4762532850025,7980961703118,19,SD,-107.990612|71.5946855
2018-01-11 01:56:52,3786272483279,4698056966334,174,FM,116.466062|59.2283015
2018-01-01 23:23:20,1211388536786,2880216732089,77,MP,112.879376|-50.310481
